Pitanje,Odgovor,Dokument
Do kada traje upis?,"""Upis u skolsku 2023/24. godinu potrebno je izvrsiti najkasnije do 6.10.2023. godine.""",Informator_2023/2024
Kako izgleda ispit za upis na arhitekturu?,"""Prijemni ispit za studije arhitekture obuhvata testove iz oblasti arhitektonskog projektovanja, urbanizma, matematike, geometrije i računara, savremene arhitekture, istorije i teorije, umetnosti i dizajna u arhitekturi. Ovaj ispit ocenjuje sposobnost kandidata da razumeju i primene osnovne koncepte vezane za arhitekturu i srodne discipline, kao i njihovu kreativnost i sposobnost analitičkog razmišljanja u kontekstu arhitektonskog dizajna.""",OAS22
Koliko bodova treba da imam za upis na budzet?,"""Pravo na buzdet imaju svi studenti koji su u toku skolske 2022/23. ostvarili minumu 48 ESPB bodova , osim onih koji prvi put upisuju prvu godinu. Ukoliko student ne ostvari zakonski minimum za upis na budzet bice upisan kao samofinansirajuci student. "" ",Informator_2023/2024
Koliki su troskovi upisa u skolsku 2023/2024?,"""Troškovi upisa za studente bez zaostalih predmeta iz prethodnih godina iznose 4.000 dinara, a za one sa zaostalim predmetima 7.500 dinara za školsku 2023/2024. godinu.""""",Informator_2023/2024
Koliko studenti placaju nepolozene ispite?,"""Nepolozene ispite studenti placaju po bodu. Cena jednog boda dobije se kada se cena skolarine podeli sa 180.""",Informator_2023/2024
Sta se desava sa studentima kojima istice status studenta zbog isteka roka za studiranje?,"""Studenti kojima ističe status studenta zbog isteka roka za studiranje, podnose molbu za razmatranje produzenja statusa studenta najkasnije do 29.09.2023. godine.""",Informator_2023/2024
Sta je vizija fakulteta?,"""Vizija fakulteta je zasnovana na dugoročnoj održivosti i efektivnosti u svim aspektima visokog obrazovanja i inovacija Cilj je da fakultet bude lider u primeni savremenih tehnologija i metoda učenja, kao i u stvaranju konkurentnih prednosti koje će omogućiti studentima i fakultetu da ostvare značajne akademske i profesionalne uspehe. Strategija obuhvata razvoj kvalitetnih programa obrazovanja, unapređenje istraživačke delatnosti, i jačanje saradnje sa industrijskim i akademskim partnerima kako bi se obezbedila relevantnost i praktična primena znanja i veština stečenih na fakultetu.""",Strategija_fakulteta
Koje se oblasti izucavaju na Fakultetu tehnickih nauka?,"""Na Fakultetu tehničkih nauka izucavaju se sledece oblasti:

- Masinsko inzenjerstvo - Fokus na dizajn, analizu, proizvodnju i odrzavanje masinskih sistema.
- Elektrotehnicko i računarsko inzenjerstvo -  Razvoj elektronskih sistema, racunarske tehnologije i softvera.
- Gradjevinsko inzenjerstvo - Projektovanje, izgradnja i održavanje infrastrukturnih projekata kao što su zgrade, mostovi i putevi.
- Saobracajno inzenjerstvo - Planiranje, projektovanje i upravljanje saobracajnim sistemima.
- Arhitektura - Umjetnost i nauka o dizajniranju zgrada i drugih fizickih struktura.
- Industrijsko inženjerstvo i inzenjerski menadzment - Optimizacija složenih procesa, sistema ili organizacija.
- Inzenjerstvo zastite zivotne sredine i zaštite na radu - Fokus na proučavanju i primeni praksi zaštite zivotne sredine i zdravlja na radu.
- Geodetsko inženjerstvo - Nauka o merenju i predstavljanju Zemlje, uključujući njeno fizičko površinsko oblikovanje.""",OAS22
Koliko traju osnovne akademske studije masinstav?,"""Osnovne akademsk studije traju cetiri godine i vrede 240 ESPB bodova. Zvanje koje student stice nakon zavrsetka studija masinstva je diplomirani inzener masinstva. """,OAS22
Da li je Fakutet tehnickih nauka akreditovan? ,""" Fakultet tehnickih nauka akreditovan je za obavljanje naučne i nastavne delatnosti. Svi studijski programi osnovnih, master i doktorskih akademskih studija su akreditovani za izvođenje nastave na engleskom i srpskom jeziku.""",OAS22
"Sta je ""dodatak diplomi""?",""" ""Dodatak diplomi"" je dokument koji se izdaje uz diplomu visokog obrazovanja s ciljem poboljšanja međunarodne prepoznatljivosti i olaksavanja akademskog i profesionalnog priznavanja kvalifikacija. Sadrzi detaljan opis prirode, nivoa, konteksta, sadržaja i statusa studija koje je student uspešno završio, čime se olakšava zapošljavanje diplomaca na međunarodnom nivou. Fakultet tehnickih nauka Univerziteta u Novom Sadu bio je prvi u Srbiji koji je počeo izdavati ovaj dodatak, jos pre potpisivanja Bolonjske deklaracije, čime je postavio standard koji je kasnije usvojen na celom univerzitetu i preporučen od strane Ministarstva prosvete, nauke i tehnoloskog razvoja kao model za ostale univerzitete u zemlji.""",OAS22
Koji su uslovi upisa na osnovne akademske i osnovne strukovne studije?,"""Uslovi upisa na osnovne akademske i osnovne strukovne studije: Zavrsen IV stepen srednje skole. POLOZEN PRIJEMNI ISPIT.""",OAS22
Sta je projekat AI-Speak?,""" AI-SPEAK je projekat koji se fokusira na razvoj naprednih algoritama masinskog ucenja za audio-vizuelnu govornu komunikaciju izmedju ljudi i masina. Istrazivanje u okviru ovog projekta bazira se na najnovijim metodama vestacke inteligencije, ukljucujuci ekstrakciju obelezja zasnovanu na dubokom ucenju, vremensko modelovanje pomocu rekurentnih neuralnih mreza i vremenskih konvolucionih mreza. Projektni tim cine nastavnici i asistenti Katedre za telekomunikacije i obradu signala (Departman za energetiku, elektroniku i telekomunikacije) i Katedre za animacije u inzenjerstvu (Departman za opste discipline u tehnici), a rukovodilac projekta je prof. dr Milan Secujski.""",FTNnovine67
Da li postoje dvosemestralni ispiti? ,"""Ne, svi ispiti su jednosemestralni. """,OAS22
Da li se polaze test opste kulture?,"""Test opste kulture i informisanosti polazu studenti koji upisuju smer: Scenska arhitektura, tehnika i dizajn. """,OAS22
Sta je sve potrebno od fokumenata prilikom upisa?,""" Za upis na fakultet potrebna su sledeca dokumenta:

1. Prijavni list, koji se dobija na fakultetu na dan konkursiranja.
2. Svedočanstva svih cetiri razreda srednje skole, u obliku fotokopija ili originala.
3. Diploma o stečenom srednjem obrazovanju, takođe u obliku fotokopija ili originala.
4. Lična karta je potrebna za uvid, kao i kopija lične karte.
5. Dokaz o uplati troskova za organizovanje prijemnog ispita.

Fotokopije dokumenta ne moraju biti overene ukoliko se na uvid podnesu originalni dokumenti.""",OAS22
"Gde je odrzan seminar Artificial Intelligence and its Business 
applications for Belt and Road Countries? ","""Seminar Artificial Intelligence and its Business applications for Belt and Road Countries odrzan je u Pekingu i Senzenu, u Kini u periodu od 1. do 14. novembra.""",FTNnovine67
